order_id,order_date,customer_segment,region,category,product_name,quantity,unit_price,discount_pct,shipping_cost,payment_method
ORD-1001,2024-05-20,Small Business,North,Electronics,Wireless Ergonomic Mouse,1,29.99,0.05,23.4,Crypto
ORD-1002,2024-02-17,Small Business,South,Electronics,Wireless Ergonomic Mouse,1,29.99,0.2,20.04,Crypto
ORD-1003,2024-10-28,Consumer,West,Furniture,Under-desk Cable Tray,1,19.99,0.0,23.96,Bank Transfer
ORD-1004,2024-04-20,Corporate,North,Office Supplies,Gel Ink Pens 12-pack,8,9.99,0.1,7.55,Bank Transfer
ORD-1005,2024-01-23,Corporate,North,Office Supplies,Heavy Duty Desktop Stapler,3,12.49,0.2,8.11,Bank Transfer
ORD-1006,2024-12-26,Consumer,South,Office Supplies,Gel Ink Pens 12-pack,1,9.99,0.05,24.32,Credit Card
ORD-1007,2024-08-20,Corporate,South,Apparel,Breathable Running Shoes,2,79.99,0.1,9.06,Bank Transfer
ORD-1008,2024-11-21,Corporate,East,Electronics,Noise-Canceling Headphones,1,199.99,0.05,9.08,PayPal
ORD-1009,2024-04-27,Consumer,South,Office Supplies,Premium Leather Notebook,4,14.99,0.1,15.02,Bank Transfer
ORD-1010,2024-07-21,Consumer,South,Furniture,Under-desk Cable Tray,4,19.99,0.15,8.56,Bank Transfer
ORD-1011,2024-07-23,Consumer,North,Apparel,Waterproof Backpack 25L,1,64.99,0.05,17.73,Credit Card
ORD-1012,2024-12-14,Small Business,West,Furniture,Electric Height Adjustable Desk,2,399.99,0.0,14.61,Bank Transfer
ORD-1013,2024-12-15,Corporate,North,Electronics,Wireless Ergonomic Mouse,4,29.99,0.1,24.2,Bank Transfer
ORD-1014,2024-08-20,Consumer,North,Apparel,Tech Fleece Hoodie,1,54.99,0.1,29.29,Bank Transfer
ORD-1015,2024-07-10,Small Business,North,Furniture,Electric Height Adjustable Desk,3,399.99,0.2,28.83,Bank Transfer
ORD-1016,2024-02-27,Consumer,North,Apparel,Tech Fleece Hoodie,5,54.99,0.1,10.98,Credit Card
ORD-1017,2024-09-29,Small Business,South,Apparel,Tech Fleece Hoodie,3,54.99,0.05,21.48,Bank Transfer
ORD-1018,2024-10-03,Corporate,East,Apparel,Tech Fleece Hoodie,3,54.99,0.05,22.81,Crypto
ORD-1019,2024-05-06,Small Business,South,Apparel,Tech Fleece Hoodie,1,54.99,0.1,5.52,PayPal
ORD-1020,2024-12-28,Consumer,East,Electronics,Wireless Ergonomic Mouse,2,29.99,0.05,6.68,Credit Card
ORD-1021,2024-12-08,Small Business,West,Furniture,LED Monitor Desk Lamp,2,34.99,0.2,8.3,PayPal
ORD-1022,2024-04-07,Corporate,West,Apparel,Breathable Running Shoes,1,79.99,0.15,13.85,Credit Card
ORD-1023,2024-07-25,Consumer,West,Electronics,Wireless Ergonomic Mouse,3,29.99,0.0,11.21,PayPal
ORD-1024,2024-05-22,Small Business,North,Apparel,Tech Fleece Hoodie,2,54.99,0.0,16.07,Credit Card
ORD-1025,2024-05-01,Corporate,North,Electronics,Wireless Ergonomic Mouse,1,29.99,0.15,17.02,PayPal
ORD-1026,2024-07-18,Small Business,West,Apparel,Tech Fleece Hoodie,1,54.99,0.15,12.12,PayPal
ORD-1027,2024-04-21,Consumer,East,Furniture,LED Monitor Desk Lamp,8,34.99,0.2,23.38,Credit Card
ORD-1028,2024-09-01,Small Business,North,Electronics,Noise-Canceling Headphones,2,199.99,0.2,8.93,PayPal
ORD-1029,2024-02-04,Small Business,South,Electronics,Noise-Canceling Headphones,3,199.99,0.05,15.08,Credit Card
ORD-1030,2024-12-02,Corporate,South,Electronics,USB-C Multi-port Docking Station,2,59.99,0.2,12.9,Bank Transfer
ORD-1031,2024-07-21,Consumer,North,Furniture,LED Monitor Desk Lamp,1,34.99,0.1,16.42,Crypto
ORD-1032,2024-10-02,Corporate,North,Electronics,Wireless Ergonomic Mouse,1,29.99,0.1,8.3,PayPal
ORD-1033,2024-03-21,Small Business,North,Office Supplies,Heavy Duty Desktop Stapler,2,12.49,0.2,22.58,Bank Transfer
ORD-1034,2024-05-15,Consumer,East,Electronics,Mechanical RGB Keyboard,1,89.99,0.0,23.55,Bank Transfer
ORD-1035,2024-04-14,Corporate,North,Furniture,LED Monitor Desk Lamp,3,34.99,0.1,17.63,Credit Card
ORD-1036,2024-01-23,Corporate,South,Apparel,Breathable Running Shoes,1,79.99,0.05,20.92,Crypto
ORD-1037,2024-01-05,Corporate,South,Apparel,Waterproof Backpack 25L,1,64.99,0.05,18.63,Crypto
ORD-1038,2024-06-06,Consumer,South,Furniture,Ergonomic Mesh Office Chair,1,249.99,0.0,27.46,Credit Card
ORD-1039,2024-11-13,Consumer,West,Office Supplies,Dry Erase Whiteboard 36x24,3,49.99,0.05,26.61,Credit Card
ORD-1040,2024-07-29,Small Business,North,Furniture,LED Monitor Desk Lamp,4,34.99,0.05,11.66,Crypto
ORD-1041,2024-04-23,Consumer,South,Electronics,USB-C Multi-port Docking Station,1,59.99,0.15,13.73,Credit Card
ORD-1042,2024-06-17,Corporate,East,Furniture,Under-desk Cable Tray,1,19.99,0.0,29.16,Crypto
ORD-1043,2024-02-29,Corporate,North,Office Supplies,Premium Leather Notebook,4,14.99,0.1,9.45,Credit Card
ORD-1044,2024-06-09,Small Business,South,Apparel,Breathable Running Shoes,2,79.99,0.2,7.88,Bank Transfer
ORD-1045,2024-01-01,Small Business,South,Electronics,USB-C Multi-port Docking Station,2,59.99,0.2,22.16,Bank Transfer
ORD-1046,2024-12-06,Consumer,East,Apparel,Tech Fleece Hoodie,5,54.99,0.2,12.84,Bank Transfer
ORD-1047,2024-07-25,Corporate,West,Apparel,Breathable Running Shoes,3,79.99,0.2,8.17,PayPal
ORD-1048,2024-10-07,Corporate,East,Office Supplies,Dry Erase Whiteboard 36x24,4,49.99,0.1,12.16,Crypto
ORD-1049,2024-12-11,Small Business,South,Apparel,Breathable Running Shoes,1,79.99,0.15,24.83,Credit Card
ORD-1050,2024-02-17,Consumer,South,Office Supplies,Heavy Duty Desktop Stapler,4,12.49,0.05,21.81,PayPal
ORD-1051,2024-05-05,Consumer,West,Electronics,Wireless Ergonomic Mouse,10,29.99,0.2,26.23,Crypto
ORD-1052,2024-09-10,Consumer,North,Furniture,Under-desk Cable Tray,1,19.99,0.05,21.39,Crypto
ORD-1053,2024-12-22,Consumer,West,Furniture,Electric Height Adjustable Desk,2,399.99,0.0,18.93,PayPal
ORD-1054,2024-09-28,Corporate,West,Apparel,Waterproof Backpack 25L,10,64.99,0.2,12.92,Crypto
ORD-1055,2024-08-18,Corporate,West,Furniture,Under-desk Cable Tray,1,19.99,0.05,25.99,PayPal
ORD-1056,2024-02-09,Corporate,North,Office Supplies,Dry Erase Whiteboard 36x24,3,49.99,0.05,11.78,PayPal
ORD-1057,2024-07-15,Corporate,East,Furniture,Electric Height Adjustable Desk,3,399.99,0.05,6.6,Crypto
ORD-1058,2024-04-15,Small Business,North,Apparel,Tech Fleece Hoodie,4,54.99,0.15,27.61,Crypto
ORD-1059,2024-06-29,Corporate,South,Apparel,Tech Fleece Hoodie,1,54.99,0.15,26.33,Crypto
ORD-1060,2024-08-11,Small Business,West,Furniture,LED Monitor Desk Lamp,2,34.99,0.15,13.39,PayPal
ORD-1061,2024-11-14,Small Business,North,Apparel,Tech Fleece Hoodie,2,54.99,0.15,19.79,Credit Card
ORD-1062,2024-08-24,Consumer,West,Apparel,Tech Fleece Hoodie,1,54.99,0.1,14.47,Bank Transfer
ORD-1063,2024-05-22,Consumer,West,Office Supplies,Dry Erase Whiteboard 36x24,3,49.99,0.15,11.3,Credit Card
ORD-1064,2024-04-24,Consumer,South,Electronics,UltraWide 34-inch Monitor,3,449.99,0.0,23.85,Credit Card
